Betrag,ZeitLetzteTx,EntfernungClusterzentrum,EntfernungnaechstesGeraet,letzteHandyEntsperrung,Alter,Fraud,5311,5411,5541,5812,5912,7995,6012,5813,4111,7011
1894.24,2.24,14.61,65.86,44.23,36,0,0,1,0,0,0,0,0,0,0,0
7642.5,6.06,20.38,179.12,21,63,0,0,0,0,0,0,0,0,0,1,0
8084.51,10.7,28.19,41.49,16.26,48,0,0,0,0,0,0,0,0,0,1,0
1433.28,3.58,9.46,119.11,3.47,38,0,1,0,0,0,0,0,0,0,0,0
7427.25,5.64,29.06,99.27,40.58,53,0,0,0,0,0,0,0,1,0,0,0
1927.99,41.69,26.98,429.77,3.83,52,0,0,0,0,0,0,0,1,0,0,0
5398.12,7.33,19.45,90.1,7.7,84,0,0,0,0,0,0,0,0,1,0,0
9103.11,11.22,908.23,220.61,59.54,60,1,0,0,0,0,1,0,0,0,0,0
1754.53,0.37,74.78,195.92,14.4,76,0,0,0,0,0,0,0,0,1,0,0
3622.7,5.05,48.39,277.55,14.61,63,1,0,0,0,0,0,1,0,0,0,0
7285.73,11.91,93.34,94.2,30.54,80,0,0,1,0,0,0,0,0,0,0,0
5142.47,21.44,44.92,448.51,47.82,20,0,1,0,0,0,0,0,0,0,0,0
1722.38,0.77,27.99,82.79,3.22,32,0,1,0,0,0,0,0,0,0,0,0
1630.83,5.96,639.95,200.27,71.89,65,0,0,0,0,0,0,0,0,0,1,0
958.22,0.16,12.49,208.29,23.51,73,0,0,0,1,0,0,0,0,0,0,0
4499.96,10.25,83.7,316,55.64,76,0,0,0,0,0,0,0,0,0,1,0
2083.54,41.99,19.78,416.01,20.86,35,1,0,0,0,0,1,0,0,0,0,0
9340.92,1.46,46.18,0.83,28.46,60,0,0,0,0,0,0,0,0,0,0,1
5800.2,15.91,757.14,125.32,68.39,27,0,1,0,0,0,0,0,0,0,0,0
2354.38,19.53,74.56,476.47,67.8,33,0,1,0,0,0,0,0,0,0,0,0
2642.41,14.66,69.35,45.41,83.22,78,0,0,0,0,0,0,0,0,1,0,0
5234.88,3.82,50.77,339.54,7.92,81,0,0,0,0,0,1,0,0,0,0,0
2755.7,20.45,98.81,51.11,27.88,21,0,0,0,0,0,0,0,1,0,0,0
2332.38,23.13,168.83,291.07,14.2,54,1,1,0,0,0,0,0,0,0,0,0
4406.84,9.36,75.31,215.43,1.61,66,0,1,0,0,0,0,0,0,0,0,0
5413.44,5.27,64.21,220.28,66.02,49,0,1,0,0,0,0,0,0,0,0,0
1096.85,5.65,60.24,242.84,10.05,37,0,0,1,0,0,0,0,0,0,0,0
6866.02,27.36,87.93,106.19,76.82,35,0,0,0,0,0,0,0,0,1,0,0
2698.46,4.82,88.48,31.13,57.55,19,0,0,1,0,0,0,0,0,0,0,0
4069.58,0.97,292.03,32.16,7.58,56,0,0,0,0,0,0,0,1,0,0,0
2752.94,3.88,65.45,327.69,31.11,65,0,0,1,0,0,0,0,0,0,0,0
4979.68,2.77,53.06,24.53,58.25,38,1,1,0,0,0,0,0,0,0,0,0
9946.31,10.47,9.36,112.02,74.55,27,0,0,0,0,0,0,0,0,0,0,1
7797.74,0.55,130.66,476.29,40.94,74,0,0,0,0,0,0,0,0,1,0,0
7208.56,11,608.18,449.4,19.2,48,0,0,0,0,0,1,0,0,0,0,0
6562.39,6.44,12.39,285.03,34.15,39,1,0,0,0,0,0,1,0,0,0,0
3642.68,8.94,31.47,254.68,1.83,40,1,0,1,0,0,0,0,0,0,0,0
5503.49,4.27,961.05,444.71,39.06,87,0,0,0,0,0,1,0,0,0,0,0
8667.4,9.43,8.14,332.58,3.92,73,0,0,0,0,0,0,0,0,0,1,0
7288.08,11.8,27.04,217.77,30.1,83,0,0,0,0,0,0,0,1,0,0,0
9313.56,18.07,62.77,328.03,0.73,79,0,0,0,0,0,0,0,0,0,0,1
8690.43,1.42,38.96,22.97,81.75,29,0,0,0,0,0,0,0,0,1,0,0
8096.46,11.71,492.07,10.82,7.91,54,0,0,0,0,1,0,0,0,0,0,0
2172.6,6.37,85.73,164.11,43.19,89,0,0,0,0,0,0,0,1,0,0,0
5285.31,11.9,31.2,15.78,0.12,69,0,0,0,0,0,1,0,0,0,0,0
7059.76,0.55,461.37,394.74,92.41,25,0,0,0,0,0,0,0,0,0,1,0
4075.29,1.87,15.97,311.5,23.33,54,0,0,0,0,0,0,0,1,0,0,0
2692.65,5.58,65.37,208.12,47.78,89,0,0,0,0,0,0,0,1,0,0,0
7184.7,29.5,11.74,400.92,71.88,19,0,0,0,0,0,0,0,0,0,0,1
3542.54,1.24,520.15,203.58,102.61,43,1,0,0,0,0,1,0,0,0,0,0
3451.31,1.57,680.46,163.65,15,26,0,0,0,0,0,0,0,1,0,0,0
5800.75,8.57,80.15,14.64,6.34,48,0,0,0,0,0,0,0,0,1,0,0
2714.94,0.91,50.51,94.29,41,31,0,0,0,1,0,0,0,0,0,0,0
7797.07,0.26,61.04,189.15,73.65,37,0,0,0,0,0,0,1,0,0,0,0
5984.69,13.07,74.71,335.47,3.41,80,0,0,0,0,0,1,0,0,0,0,0
6981.57,3.86,25.85,332.66,78.72,51,1,0,0,0,0,0,0,0,0,0,1
5140.51,20.28,68.47,370.6,5.22,72,0,0,0,0,0,0,0,1,0,0,0
1541.05,48.26,718.77,253.22,18.81,54,0,0,0,0,0,0,0,0,0,1,0
524.44,19.91,912.69,213.53,13.82,88,0,0,0,0,0,0,0,0,0,1,0
5282.04,5.34,669.4,52.86,4.88,61,0,0,0,0,0,0,0,0,1,0,0
8587.94,10.2,735.08,60.33,20.62,60,0,0,1,0,0,0,0,0,0,0,0
1315.2,4.05,42.78,158.49,22.24,24,0,0,0,0,1,0,0,0,0,0,0
232.79,0.91,77.17,363.9,97.2,87,0,0,1,0,0,0,0,0,0,0,0
1488.24,7.32,94.77,54.51,48.26,82,0,0,0,0,0,0,0,0,0,0,1
9634.19,0.99,82.56,373.09,5.26,86,0,1,0,0,0,0,0,0,0,0,0
7636.41,3.07,20.78,183.43,5.28,58,0,0,0,0,0,0,0,0,1,0,0
7853.96,11.6,505.27,50.7,3.55,78,0,0,0,0,0,0,0,0,1,0,0
9193,8.36,747.54,256.73,26.68,74,1,0,0,0,1,0,0,0,0,0,0
4480.51,0.81,11.45,36.05,31.68,47,0,0,0,1,0,0,0,0,0,0,0
7226.48,2.49,86.29,229.56,45.42,43,0,0,0,0,1,0,0,0,0,0,0
2137.63,5.6,26.64,487.41,42.58,50,0,0,0,0,0,0,0,0,0,0,1
6605.99,5.32,936.34,77.26,29.18,74,0,0,0,0,0,0,0,1,0,0,0
2565.51,8.64,67.38,159.84,17.98,38,0,0,1,0,0,0,0,0,0,0,0
8003.27,10.59,801.44,498.4,11.44,49,1,0,0,0,0,1,0,0,0,0,0
8616.97,3.21,3.88,75.14,28.52,50,0,0,0,0,1,0,0,0,0,0,0
6338.85,12.53,136.73,330.07,15.17,44,0,0,1,0,0,0,0,0,0,0,0
6913.42,6.31,40.5,206.85,13.93,33,0,0,0,0,0,0,0,1,0,0,0
4502.77,17.49,16.94,412.86,45,74,0,0,0,0,0,0,1,0,0,0,0
743.48,1.11,45.53,405.21,6.53,38,0,1,0,0,0,0,0,0,0,0,0
5453.17,15.76,21.2,5.57,46.84,54,0,0,0,0,0,1,0,0,0,0,0
7503.2,0.26,542.4,242.09,9.06,64,0,1,0,0,0,0,0,0,0,0,0
1505.33,3.45,10.43,368.78,21.21,44,0,1,0,0,0,0,0,0,0,0,0
8871.51,10.47,432.86,494.84,17.37,81,1,0,0,0,0,0,1,0,0,0,0
4163.73,1.39,574.47,213.27,1.27,75,0,0,0,0,0,0,0,0,0,1,0
2848.24,13.45,45.24,116.38,1.14,22,0,0,0,0,0,0,1,0,0,0,0
7238.56,29.54,62.48,456.18,8.9,53,0,1,0,0,0,0,0,0,0,0,0
62.1,20.69,50.89,82.77,81.56,22,0,0,1,0,0,0,0,0,0,0,0
8030.67,0.95,5.39,49.04,6.88,64,0,1,0,0,0,0,0,0,0,0,0
980.87,1.98,66.51,162.04,16.4,30,0,0,0,1,0,0,0,0,0,0,0
367.58,0.61,52.92,131.52,54.36,58,0,0,0,0,0,1,0,0,0,0,0
9965.49,7.03,3.31,296.6,72.34,68,1,0,0,1,0,0,0,0,0,0,0
545.91,16.44,32.63,265,2.01,76,0,1,0,0,0,0,0,0,0,0,0
6283.87,19.14,39.52,253.24,4.12,86,1,0,0,0,0,0,1,0,0,0,0
9182.37,9.59,71.4,376.09,5.09,63,0,1,0,0,0,0,0,0,0,0,0
6899.19,9.01,20.56,12.31,39.36,56,0,0,0,0,0,0,0,1,0,0,0
1965.18,7.6,666.23,186.55,2.4,81,0,0,1,0,0,0,0,0,0,0,0
2059.01,5.45,777.28,358.82,0.01,58,0,0,0,1,0,0,0,0,0,0,0
5389.09,1,76.84,268.88,43.88,39,1,0,0,0,0,0,0,1,0,0,0
610.21,1.58,95.53,135.45,47.34,28,0,0,0,0,0,0,0,1,0,0,0
5547.94,7.4,88.16,47.66,31.51,58,0,0,0,0,1,0,0,0,0,0,0
4481.88,13.86,7.1,478.41,94.76,43,1,0,0,1,0,0,0,0,0,0,0
3901.64,15.57,27.38,497.05,5.48,44,1,0,0,0,0,0,1,0,0,0,0
4685.97,6.71,249.69,86.5,14.57,42,0,0,0,0,0,0,0,0,0,1,0
4784.6,8.93,94.03,370.98,37.41,38,0,0,0,0,0,0,0,1,0,0,0
5257.88,0.93,23.63,459.8,21.58,37,0,1,0,0,0,0,0,0,0,0,0
7375.16,8.83,627.52,254.41,6.77,23,0,0,0,0,1,0,0,0,0,0,0
6437.98,15.92,92.82,360.56,56.33,30,1,0,0,0,0,0,0,0,1,0,0
2476.39,9.65,68.51,110.28,50.84,40,0,0,0,0,0,0,1,0,0,0,0
6473.45,0.36,86.09,294.01,5.85,76,1,0,0,1,0,0,0,0,0,0,0
71.04,27.84,66.96,280.08,23.68,87,0,0,0,0,0,1,0,0,0,0,0
4891.01,8.02,39.24,206.45,1.69,27,0,0,0,0,0,0,0,1,0,0,0
778.14,1.03,1.61,425.86,38.02,50,0,0,0,0,1,0,0,0,0,0,0
8050.47,5.37,32.35,453.37,4.19,48,0,0,0,0,0,0,0,0,0,1,0
1117.51,0.37,567.35,301.27,14.76,34,0,0,0,0,0,0,0,0,1,0,0
9057.88,27.78,77.69,32.28,0.29,84,1,1,0,0,0,0,0,0,0,0,0
4538.31,7.83,88.02,291.64,13.02,72,1,0,0,0,0,0,0,1,0,0,0
1769.9,4.18,72.92,163.85,6.91,51,0,0,0,0,0,1,0,0,0,0,0
5537.26,0.82,171.72,466.51,11.21,51,1,0,0,0,0,0,1,0,0,0,0
6476.47,0.73,89.4,480.29,2.57,58,0,0,0,0,0,0,0,0,1,0,0
6620.16,3.69,52.8,316.16,2.63,33,0,0,0,0,0,0,0,0,0,0,1
8249.08,7.51,3.48,228.58,29.89,38,0,0,0,0,0,0,0,1,0,0,0
5952.02,7.44,35.12,201.26,23.17,78,0,0,0,0,0,0,0,1,0,0,0
2057.19,10.76,690.74,164.13,32.85,38,0,0,0,0,0,0,0,0,1,0,0
4403.49,10.39,837.02,493.47,30.67,57,1,0,0,0,0,0,0,0,1,0,0
7945.86,36.04,12.08,15.93,22.58,35,0,1,0,0,0,0,0,0,0,0,0
4359.14,1.03,48.24,298.43,21.27,59,0,0,0,1,0,0,0,0,0,0,0
954.99,13.1,51.51,68.04,36.15,64,0,0,0,0,0,0,0,1,0,0,0
8454.46,6.73,34.79,385.35,27.52,25,0,0,0,0,0,0,0,1,0,0,0
9713.87,18.01,45.84,96.41,7.46,52,0,1,0,0,0,0,0,0,0,0,0
8533.88,17.62,940.09,322.21,69.75,50,1,0,0,0,0,0,0,0,0,0,1
60.37,23.58,56.19,70.55,37.52,60,0,0,0,0,0,0,0,0,1,0,0
9970.55,24.63,341.11,249.49,34.11,49,1,0,0,0,0,1,0,0,0,0,0
4534.51,2.16,14.32,497.68,3.82,35,0,0,0,0,0,0,0,0,1,0,0
3406.39,1.75,58.2,219.21,124.79,53,1,0,0,0,0,0,0,0,0,0,1
1556.5,1.62,71.03,62.74,73.04,80,1,0,0,0,0,0,0,0,1,0,0
6455.3,3.32,506.21,116.79,69.73,87,0,0,1,0,0,0,0,0,0,0,0
3429.48,43.3,97.95,193.78,11.56,53,0,0,1,0,0,0,0,0,0,0,0
8901.17,4.96,54.79,276.89,72.52,38,0,0,0,0,0,1,0,0,0,0,0
4516.15,2.46,48.15,86.81,33.73,57,0,0,0,0,0,0,0,0,1,0,0
2904.7,3.58,260.92,153.4,19.89,58,0,0,1,0,0,0,0,0,0,0,0
1023.54,32.73,917.01,19.08,13.9,75,0,0,1,0,0,0,0,0,0,0,0
5797.73,4.06,849.86,348.5,38.85,46,1,0,0,0,0,0,0,1,0,0,0
6754.29,0.44,49.74,49.84,41.51,69,0,0,0,0,0,0,0,0,0,0,1
200.77,24.24,700.67,378.97,2.52,74,0,0,0,0,0,0,0,0,1,0,0
8923.83,38.05,22.07,229.21,14.06,43,0,0,0,0,0,0,0,0,0,0,1
62.4,2.43,358.51,141.25,6.68,59,0,0,0,0,1,0,0,0,0,0,0
5034.65,4.93,0.29,445.73,9.88,48,0,0,1,0,0,0,0,0,0,0,0
2474.91,5.05,769.85,188.18,23.97,52,1,0,0,0,0,0,1,0,0,0,0
9646.42,10.44,46.97,368.25,9.68,58,0,0,0,0,0,1,0,0,0,0,0
4656.3,0.25,80.39,435.5,70.51,78,1,0,0,0,0,0,0,0,1,0,0
9030.84,5.66,43.05,398.68,7.83,80,1,0,0,0,1,0,0,0,0,0,0
9410.86,8.56,94.78,108.91,0.07,71,0,0,0,1,0,0,0,0,0,0,0
3908.84,1,514.87,200.66,39.57,45,1,0,0,0,0,1,0,0,0,0,0
6461.83,4.61,362.46,114.76,7.14,36,0,0,0,0,0,0,0,0,1,0,0
5151.68,60.4,86.61,434.36,4.8,25,0,0,0,0,0,0,0,1,0,0,0
3072.63,0.55,7.53,434.23,2.19,63,0,0,1,0,0,0,0,0,0,0,0
5896.17,25.08,58.9,353.48,2.22,88,0,0,0,0,0,0,0,0,0,1,0
4820.28,3.89,65.09,215.35,24.97,44,0,0,0,0,1,0,0,0,0,0,0
4490.25,3.31,39.48,280.76,24.97,81,0,0,0,0,1,0,0,0,0,0,0
3376.66,9.07,61.21,421.7,69.69,32,0,0,0,1,0,0,0,0,0,0,0
59.09,16.78,94.85,68.18,80.01,77,1,0,0,0,0,0,1,0,0,0,0
9020.4,36.62,94.77,50.61,11.57,46,0,0,0,0,0,1,0,0,0,0,0
2602.67,1.82,49.16,124.22,57.06,81,1,0,0,0,0,0,0,0,1,0,0
1767.9,0.64,47.34,18.21,13.27,51,0,0,0,0,0,0,0,0,1,0,0
138.53,25.78,83.14,184.65,27.44,82,0,0,0,0,0,0,0,0,0,0,1
4517.69,6.21,20.77,388.97,17.67,52,1,0,0,0,0,0,1,0,0,0,0
6321.73,17.79,97.25,237.17,43.61,20,0,0,0,0,0,0,0,0,0,0,1
2559.62,1.21,148.83,458.28,24.31,68,0,0,0,0,0,0,0,0,0,1,0
1611.6,3.85,30.32,350,11.45,81,0,0,0,0,0,0,1,0,0,0,0
5116.4,2.95,47.53,95.91,24.62,53,1,0,0,0,0,0,1,0,0,0,0
9989.83,4.27,84.49,138.65,47.49,72,0,1,0,0,0,0,0,0,0,0,0
7751.96,4.9,71.34,394.5,4.75,53,0,0,0,0,0,0,0,0,0,1,0
4947.14,1.04,865.53,435.88,3.4,51,0,1,0,0,0,0,0,0,0,0,0
2952.34,6.21,23,0.24,4.82,74,0,1,0,0,0,0,0,0,0,0,0
1680.19,11.2,24.11,51.54,22.24,71,0,0,0,0,0,0,1,0,0,0,0
4415.99,1.85,3.9,395.56,42.07,63,0,0,0,0,0,0,0,0,0,1,0
4597.56,13.32,924.88,54.41,47.23,56,0,0,1,0,0,0,0,0,0,0,0
1443.64,3.45,7.92,376.55,26.89,58,0,1,0,0,0,0,0,0,0,0,0
9772.17,16.92,81.89,192.37,1.98,41,0,0,0,0,0,0,0,0,0,1,0
3435.14,3.17,59.23,123.05,0.54,73,0,0,0,0,0,0,0,1,0,0,0
4862.9,9.31,977.9,193.87,15.08,66,0,0,0,0,0,1,0,0,0,0,0
1688.18,1.24,895.38,200.7,16.84,45,1,0,0,0,0,0,0,0,1,0,0
3754.57,5.07,358.75,298.93,22.23,22,0,0,0,0,0,0,0,1,0,0,0
1301.37,9.98,71.94,408.14,29.49,65,0,0,0,1,0,0,0,0,0,0,0
8194.27,2.89,93.53,376.57,16.37,73,0,0,0,0,0,0,0,0,0,1,0
3679.05,0.4,395.25,192.96,14.79,20,0,0,1,0,0,0,0,0,0,0,0
125.12,22.04,525.26,407.2,38.61,32,0,0,0,0,0,0,0,0,0,0,1
6952.78,11.39,15.28,108.24,10.09,44,0,0,0,0,0,1,0,0,0,0,0
3553.97,4.56,98.95,241.8,7.9,41,0,0,0,0,0,0,0,0,1,0,0
3946.98,17.31,57.26,75.9,18.83,87,0,0,0,0,1,0,0,0,0,0,0
3407.23,1.24,33.74,90.74,35.97,37,0,0,0,0,0,0,0,0,0,1,0
3631.1,17.32,207.81,124.09,55.03,63,0,0,0,0,0,0,0,0,0,0,1
3183,15.73,29.33,246.36,2.62,64,0,0,0,0,0,1,0,0,0,0,0
7760.46,26.11,80.32,76.03,0.33,44,0,0,1,0,0,0,0,0,0,0,0
6087.84,0.73,63.16,217.1,6.34,72,0,0,0,0,0,0,0,1,0,0,0
2128.76,15.51,503.08,250.32,6,58,0,0,0,0,0,1,0,0,0,0,0
7441.76,12.78,42.68,440.71,12.53,76,1,1,0,0,0,0,0,0,0,0,0
2757.02,2.61,50.29,381.22,11.26,78,0,0,0,0,0,0,0,1,0,0,0
1985.71,5.28,59.15,424.51,20.92,82,0,0,0,0,0,0,0,0,1,0,0
4512.31,5.24,63.13,341.49,20.12,25,0,0,0,1,0,0,0,0,0,0,0
7464.68,22.15,555.92,406.5,154.42,52,1,0,0,0,0,0,0,0,1,0,0
5169.29,5.88,93.75,489.44,16.28,29,1,1,0,0,0,0,0,0,0,0,0
4256.63,4,78.16,296.8,26.1,27,1,0,1,0,0,0,0,0,0,0,0
5487.49,11.25,94.82,257.49,25.43,18,0,1,0,0,0,0,0,0,0,0,0
9125.67,1.01,1.56,114.37,42.91,70,0,0,0,0,0,0,0,0,0,0,1
7491.99,19.02,650.63,286.38,8.05,49,0,0,0,0,0,0,0,0,0,0,1
5436.94,20.58,309.67,380.69,84.16,40,0,0,1,0,0,0,0,0,0,0,0
5253.79,1.4,52.96,324.43,5.9,22,1,0,0,1,0,0,0,0,0,0,0
877.08,15,699.97,381.4,7.31,83,0,0,0,0,0,0,0,0,0,0,1
369.2,18.19,77.77,484.82,6.22,52,0,0,0,0,0,0,0,0,0,0,1
8958.86,5.18,97.96,484.58,3.05,26,0,0,0,0,1,0,0,0,0,0,0
9060.81,28.93,47.21,494.83,1.29,42,1,0,0,0,0,1,0,0,0,0,0
6023.23,8.84,14.71,135.7,5.26,53,1,0,0,0,0,0,1,0,0,0,0
9704.61,10,82.86,88.78,61,89,0,0,0,0,1,0,0,0,0,0,0
6010.67,11.87,15.12,475.41,1.21,58,0,0,0,0,0,0,0,0,0,1,0
8286.67,5.12,42.95,223.38,140.61,49,0,1,0,0,0,0,0,0,0,0,0
1002.25,2.08,92.86,156.82,31.38,75,0,1,0,0,0,0,0,0,0,0,0
9099.03,8.12,169.27,136.68,59.85,34,0,1,0,0,0,0,0,0,0,0,0
4726.93,1.8,48.66,35.1,19.94,36,0,0,0,0,0,0,0,0,0,1,0
9310.14,28.32,94.12,67.56,3.67,81,0,0,1,0,0,0,0,0,0,0,0
6261.5,0.87,11.31,323.63,49.69,39,0,0,0,0,0,0,0,0,0,0,1
4474.05,9.77,60.8,65.08,28.2,42,0,0,0,0,0,0,0,1,0,0,0
707.77,1.08,880.04,240.44,48.98,82,0,0,0,0,1,0,0,0,0,0,0
4718.52,18.14,71.28,33.53,23.66,39,1,0,0,0,0,0,1,0,0,0,0
490.96,5.42,109.57,48.97,2.05,42,0,0,0,0,0,0,0,0,0,0,1
7884.74,12.47,9.95,75.73,24.7,33,0,0,0,0,0,0,0,1,0,0,0
918.01,15.03,58.95,445.96,4.74,42,0,0,0,1,0,0,0,0,0,0,0
2816.23,8.29,560.96,197.14,8.45,55,1,0,0,0,0,0,1,0,0,0,0
4378.38,1.69,20.33,248.56,27.81,26,0,1,0,0,0,0,0,0,0,0,0
6259.15,10.85,29.75,269.47,83.56,77,0,0,0,0,0,0,0,0,0,0,1
6427.44,1.4,41.26,30.4,80.86,85,1,0,1,0,0,0,0,0,0,0,0
894.91,18.96,40.45,93.45,0.79,40,0,0,1,0,0,0,0,0,0,0,0
1271.87,6,35.04,168.68,28.76,45,0,0,0,1,0,0,0,0,0,0,0
9912.43,5.46,94.96,398.97,8.76,44,1,0,0,1,0,0,0,0,0,0,0
8406.26,23.7,518.38,343.12,33.68,53,0,0,0,0,0,1,0,0,0,0,0
3237.71,2.75,55.55,343.69,35.87,26,0,0,0,0,1,0,0,0,0,0,0
5595.96,10.97,828.17,265.04,14.32,61,0,0,0,0,0,0,0,1,0,0,0
6891.12,17.34,50.88,440.57,68.58,85,0,1,0,0,0,0,0,0,0,0,0
1668.86,4.11,18.36,10.62,2.59,61,0,0,0,1,0,0,0,0,0,0,0
1347.55,7.2,46.8,426.92,54.94,50,1,0,0,0,0,0,1,0,0,0,0
4977.57,0.33,47.64,226.61,14.46,85,0,1,0,0,0,0,0,0,0,0,0
3171.36,12.68,845.65,13.6,32.55,51,0,0,0,0,0,0,0,1,0,0,0
4774.36,3.35,45.19,49.6,18.37,34,0,0,0,0,0,1,0,0,0,0,0
1668.24,6.53,23.61,71.09,103.38,40,0,0,0,0,0,0,0,1,0,0,0
983.6,37.83,45.1,447.37,70.16,78,1,0,0,0,1,0,0,0,0,0,0
9678.06,1.17,93.93,161.17,6.08,80,0,1,0,0,0,0,0,0,0,0,0
996.13,7.42,558,430.59,21.64,69,0,0,0,0,1,0,0,0,0,0,0
8602.15,12.76,20,10.74,19.4,22,0,0,0,0,1,0,0,0,0,0,0
4611.19,11.34,69.8,0.8,49.11,83,1,0,0,0,0,0,1,0,0,0,0
4467.37,0.78,44.78,305.78,18.07,71,1,0,0,0,0,0,1,0,0,0,0
4376.52,7.79,832.16,301.2,47.41,38,1,0,0,0,0,0,0,0,0,1,0
456.2,4.32,569.6,488.62,27.25,52,0,0,1,0,0,0,0,0,0,0,0
559.69,3.92,52.63,163.66,43.23,79,0,0,0,0,0,0,0,0,1,0,0
1197.95,5.39,5.91,52.43,136.04,32,0,1,0,0,0,0,0,0,0,0,0
7497.17,12.58,904.49,270.01,25.55,72,0,0,0,0,0,1,0,0,0,0,0
2651.86,8.95,7.68,450.1,0.71,28,0,0,1,0,0,0,0,0,0,0,0
6514.38,25.67,6.08,498.44,0.83,66,0,0,0,0,0,0,0,0,1,0,0
3566.59,2.04,24.17,40.97,2.1,66,0,1,0,0,0,0,0,0,0,0,0
7429.28,0.78,56.39,7.14,12.79,32,0,1,0,0,0,0,0,0,0,0,0
8701.9,13.47,48,283.36,1.25,26,0,0,0,0,0,0,0,0,0,1,0
4742.9,7.93,173.84,26.62,40.36,85,0,0,0,0,0,0,0,0,0,1,0
493.1,13.45,14.75,498.16,36.87,25,0,1,0,0,0,0,0,0,0,0,0
6966.78,2.96,90.97,1.32,54.44,88,0,0,0,0,0,1,0,0,0,0,0
4209.02,0.21,528.55,384.27,96.53,80,0,0,0,0,0,1,0,0,0,0,0
8052.03,0.73,18.34,191.42,1.06,44,0,0,1,0,0,0,0,0,0,0,0
9168.44,44.16,75.59,454.91,15.15,37,0,0,0,0,1,0,0,0,0,0,0
9112.8,8.8,40.95,61.92,15.46,83,0,0,0,1,0,0,0,0,0,0,0
8512.28,2.46,1.49,428.93,31.51,67,0,0,0,0,0,0,0,0,0,1,0
1088.79,2.89,3.52,260.74,45.4,59,1,0,0,0,0,1,0,0,0,0,0
7671.74,8.46,21.62,320.31,1.76,49,0,0,0,1,0,0,0,0,0,0,0
6659.65,15.41,109.65,291.96,62.89,44,0,0,0,0,0,1,0,0,0,0,0
2848.3,2.21,21.6,348.23,21.31,69,1,0,0,0,0,0,1,0,0,0,0
2240.31,2.9,71.43,197.96,47.71,40,1,0,0,0,0,0,0,0,1,0,0
9087.98,17.28,887.42,10.92,79.75,39,0,0,0,0,1,0,0,0,0,0,0
9915.54,4.66,32.22,495.08,62.2,67,0,0,0,0,0,0,0,0,1,0,0
7842.46,7.76,54.87,158.11,66.36,41,0,0,1,0,0,0,0,0,0,0,0
1440.43,8.34,97.04,125.09,14.73,32,0,1,0,0,0,0,0,0,0,0,0
5575.49,4.62,90.5,328.52,3.55,63,0,0,0,0,0,0,0,0,1,0,0
2689.89,2.84,49.11,109.28,1.37,29,0,0,0,0,0,0,0,0,0,1,0
