Betrag,ZeitLetzteTx,EntfernungClusterzentrum,EntfernungnaechstesGeraet,letzteHandyEntsperrung,Alter,5311,5411,5541,5812,5912,7995,6012,5813,4111,7011,Prediction,Fraud_Probability,Prediction_custom
1627.33,15.63,48.59,172.64,3.79,22,0,0,0,0,1,0,0,0,0,0,0,0.05296389,1
1944.0,5.5,307.5,116.45,3.75,55,0,1,0,0,0,0,0,0,0,0,0,0.36626416,1
1357.47,12.01,495.03,192.99,31.43,20,0,0,0,0,0,0,0,0,0,1,0,0.37752536,1
4143.86,12.05,70.04,137.48,41.12,70,0,0,0,0,0,1,0,0,0,0,1,0.76356107,1
1784.41,9.21,259.16,163.69,26.27,40,0,0,0,0,1,0,0,0,0,0,0,0.36113122,1
1405.39,1.14,438.69,282.44,98.24,54,0,0,0,0,0,1,0,0,0,0,1,0.978744,1
2713.94,21.64,370.38,115.83,14.09,70,1,0,0,0,0,0,0,0,0,0,0,0.3679775,1
705.48,4.64,348.51,288.36,10.09,54,0,0,0,0,1,0,0,0,0,0,1,0.6794539,1
4011.18,2.48,351.24,271.61,60.89,27,0,0,0,0,0,0,0,0,1,0,1,0.7862922,1
373.68,0.5,179.75,58.74,7.59,27,0,0,0,0,0,0,0,0,0,1,0,0.30625913,1
4934.45,10.73,146.8,20.81,99.09,36,0,1,0,0,0,0,0,0,0,0,1,0.6483911,1
3861.45,13.58,404.68,30.23,0.37,34,1,0,0,0,0,0,0,0,0,0,0,0.35695353,1
994.38,0.2,405.06,5.47,105.08,38,0,0,0,0,0,0,0,0,0,1,1,0.6785604,1
28.61,8.61,433.54,28.33,1.32,31,0,0,0,0,0,0,0,0,1,0,0,0.31508023,1
4077.49,3.08,456.62,204.9,66.53,26,0,0,0,0,0,0,0,0,0,1,1,0.6972029,1
3534.58,12.43,255.67,21.36,22.5,63,0,0,0,0,0,0,0,0,1,0,0,0.36852702,1
3645.31,2.3,250.76,95.69,148.7,18,0,0,0,0,0,0,0,0,1,0,1,0.710002,1
3856.58,14.09,399.15,253.46,2.3,68,0,0,0,0,0,1,0,0,0,0,1,0.96407825,1
371.15,5.87,324.98,6.98,24.21,62,0,0,0,0,0,0,0,1,0,0,0,0.39947024,1
1792.97,33.12,350.98,244.34,104.51,30,1,0,0,0,0,0,0,0,0,0,1,0.7620655,1
580.23,1.78,397.9,84.56,22.21,21,0,0,0,0,0,0,0,0,0,1,0,0.3505251,1
4315.65,5.01,445.0,35.45,29.78,79,0,0,0,1,0,0,0,0,0,0,0,0.36690333,1
3116.87,1.45,169.0,209.02,35.7,18,1,0,0,0,0,0,0,0,0,0,0,0.3089769,1
1655.16,31.03,187.79,188.68,18.18,66,0,0,0,0,0,0,0,1,0,0,1,0.5226441,1
318.73,25.18,46.99,263.24,29.63,57,1,0,0,0,0,0,0,0,0,0,1,0.58290774,1
1555.6,3.58,289.14,220.52,26.33,49,0,0,1,0,0,0,0,0,0,0,0,0.37336236,1
1626.59,12.95,17.97,241.04,69.43,51,0,0,0,1,0,0,0,0,0,0,0,0.35721827,1
3648.3,20.39,232.8,84.61,1.4,45,0,0,0,0,0,0,0,1,0,0,0,0.34966138,1
3188.15,9.72,271.32,53.23,9.9,48,0,0,0,0,0,1,0,0,0,0,1,0.9185508,1
4436.18,9.05,143.27,225.18,90.12,25,0,0,0,0,0,0,0,0,0,1,0,0.37334555,1
2361.6,3.32,295.42,242.05,66.29,56,0,0,0,0,0,0,1,0,0,0,1,0.674676,1
598.85,1.17,15.25,297.15,18.25,43,0,0,0,0,0,0,0,1,0,0,0,0.40074995,1
3566.51,27.3,18.67,123.79,29.04,75,0,1,0,0,0,0,0,0,0,0,0,0.15794683,1
3804.16,27.68,411.3,111.61,9.75,51,0,0,0,0,0,0,0,0,0,1,1,0.5675154,1
2806.82,12.03,180.1,232.92,6.25,71,0,0,0,0,0,0,0,1,0,0,0,0.3334992,1
3855.06,4.97,63.53,102.24,18.69,71,0,0,1,0,0,0,0,0,0,0,0,0.051195722,1
2469.48,5.15,261.12,279.23,13.08,20,0,0,0,0,0,0,1,0,0,0,1,0.6794539,1
2614.14,15.53,385.0,257.52,26.29,76,0,0,1,0,0,0,0,0,0,0,1,0.6829908,1
2138.28,27.29,107.91,128.7,2.43,67,0,0,0,0,0,0,1,0,0,0,0,0.15657322,1
128.07,26.17,311.45,225.26,109.95,29,0,1,0,0,0,0,0,0,0,0,1,0.8175274,1
540.35,18.16,42.67,226.36,128.52,18,0,0,0,0,0,0,0,0,0,1,0,0.4300056,1
